"ENSEMBL","SYMBOL","biotype","geneloc"
"ENSG00000137752"," CASP1"," protein_coding","chr11:105025443-105035250"
"ENSG00000065357"," DGKA"," protein_coding","chr12:55927319-55954027"
"ENSG00000177398"," UMODL1"," protein_coding","chr21:42062959-42143453"
"ENSG00000251381"," LINC00958"," lncRNA","chr11:12961541-12989597"
"ENSG00000130203"," APOE"," protein_coding","chr19:44905791-44909393"
"ENSG00000101194"," SLC17A9"," protein_coding","chr20:62952707-62969585"
"ENSG00000107719"," PALD1"," protein_coding","chr10:70478767-70568450"
"ENSG00000069011"," PITX1"," protein_coding","chr5:135027734-135034813"
"ENSG00000173762"," CD7"," protein_coding","chr17:82314868-82317608"
"ENSG00000159176"," CSRP1"," protein_coding","chr1:201483530-201509456"
"ENSG00000177614"," PGBD5"," protein_coding","chr1:230314490-230426332"
"ENSG00000163513"," TGFBR2"," protein_coding","chr3:30606601-30694142"
"ENSG00000145990"," GFOD1"," protein_coding","chr6:13357830-13487662"
"ENSG00000165025"," SYK"," protein_coding","chr9:90801787-90898549"
"ENSG00000124126"," PREX1"," protein_coding","chr20:48624252-48827999"
"ENSG00000164687"," FABP5"," protein_coding","chr8:81280536-81284777"
"ENSG00000204385"," SLC44A4"," protein_coding","chr6:31863192-31879046"
"ENSG00000012124"," CD22"," protein_coding","chr19:35319261-35347361"
"ENSG00000131721"," RHOXF2"," protein_coding","chrX:120158613-120165630"
"ENSG00000268119",NA,NA,"chr19:21444241-21463908"
"ENSG00000106327"," TFR2"," protein_coding","chr7:100620416-100642779"
"ENSG00000136286"," MYO1G"," protein_coding","chr7:44962662-44979088"
"ENSG00000141744"," PNMT"," protein_coding","chr17:39667981-39670475"
"ENSG00000119866"," BCL11A"," protein_coding","chr2:60450520-60554467"
"ENSG00000076554"," TPD52"," protein_coding","chr8:80034745-80231232"
"ENSG00000152818"," UTRN"," protein_coding","chr6:144285701-144853034"
"ENSG00000010278"," CD9"," protein_coding","chr12:6199715-6238271"
"ENSG00000168685"," IL7R"," protein_coding","chr5:35852695-35879603"
"ENSG00000168961"," LGALS9"," protein_coding","chr17:27629798-27649560"
"ENSG00000128283"," CDC42EP1"," protein_coding","chr22:37560480-37569405"
"ENSG00000211978"," IGHV5-78"," IG_V_pseudogene","chr14:106851123-106851417"
"ENSG00000182247"," UBE2E2"," protein_coding","chr3:23203020-23591794"
"ENSG00000240583"," AQP1"," protein_coding","chr7:30911853-30925517"
"ENSG00000173020"," GRK2"," protein_coding","chr11:67266473-67286556"
"ENSG00000162676"," GFI1"," protein_coding","chr1:92473043-92486925"
"ENSG00000168394"," TAP1"," protein_coding","chr6:32845209-32853816"
"ENSG00000130508"," PXDN"," protein_coding","chr2:1631887-1744852"
"ENSG00000145287"," PLAC8"," protein_coding","chr4:83090048-83137075"
"ENSG00000101445"," PPP1R16B"," protein_coding","chr20:38805697-38923024"
"ENSG00000153551"," CMTM7"," protein_coding","chr3:32391698-32483067"
"ENSG00000128805"," ARHGAP22"," protein_coding","chr10:48446036-48656265"
"ENSG00000123405"," NFE2"," protein_coding","chr12:54292111-54301015"
"ENSG00000166428"," PLD4"," protein_coding","chr14:104924713-104937761"
"ENSG00000143847"," PPFIA4"," protein_coding","chr1:203026498-203078740"
"ENSG00000100968"," NFATC4"," protein_coding","chr14:24365673-24379604"
"ENSG00000185686"," PRAME"," protein_coding","chr22:22547701-22559361"
"ENSG00000137101"," CD72"," protein_coding","chr9:35609979-35646810"
"ENSG00000234964"," FABP5P7"," processed_pseudogene","chr11:59781318-59781722"
"ENSG00000272405",NA,NA,"chr1:156641666-156644887"
"ENSG00000122378"," PRXL2A"," protein_coding","chr10:80407829-80437115"
"ENSG00000124785"," NRN1"," protein_coding","chr6:5997999-6007605"
"ENSG00000158517"," NCF1"," protein_coding","chr7:74773962-74789376"
"ENSG00000211899"," IGHM"," IG_C_gene","chr14:105851705-105856218"
"ENSG00000175097"," RAG2"," protein_coding","chr11:36575574-36598279"
"ENSG00000132274"," TRIM22"," protein_coding","chr11:5689697-5737089"
"ENSG00000187210"," GCNT1"," protein_coding","chr9:76419850-76651203"
"ENSG00000089486"," CDIP1"," protein_coding","chr16:4510669-4538828"
"ENSG00000134853"," PDGFRA"," protein_coding","chr4:54229280-54298245"
"ENSG00000100379"," KCTD17"," protein_coding","chr22:37051736-37063390"
"ENSG00000281649"," EBLN3P"," lncRNA","chr9:37079645-37090928"
"ENSG00000164877"," MICALL2"," protein_coding","chr7:1428465-1459470"
"ENSG00000160179"," ABCG1"," protein_coding","chr21:42199689-42297244"
"ENSG00000186517"," ARHGAP30"," protein_coding","chr1:161046946-161069970"
"ENSG00000131037"," EPS8L1"," protein_coding","chr19:55072020-55087923"
"ENSG00000128322"," IGLL1"," protein_coding","chr22:23573125-23580302"
"ENSG00000167613"," LAIR1"," protein_coding","chr19:54351384-54370558"
"ENSG00000161267"," BDH1"," protein_coding","chr3:197509783-197573323"
"ENSG00000090097"," PCBP4"," protein_coding","chr3:51957454-51974016"
"ENSG00000003436"," TFPI"," protein_coding","chr2:187464230-187565760"
"ENSG00000100364"," KIAA0930"," protein_coding","chr22:45192244-45240894"
"ENSG00000135185"," TMEM243"," protein_coding","chr7:87196160-87220587"
"ENSG00000176438"," SYNE3"," protein_coding","chr14:95407266-95516650"
"ENSG00000068366"," ACSL4"," protein_coding","chrX:109624244-109733403"
"ENSG00000125354"," SEPTIN6"," protein_coding","chrX:119615724-119693370"
"ENSG00000288722"," F8A1"," protein_coding","chrX:154886355-154888061"
"ENSG00000288709"," F8A2"," protein_coding","chrX:155382095-155383801"
"ENSG00000223865"," HLA-DPB1"," protein_coding","chr6:33075990-33089696"
"ENSG00000115255"," REEP6"," protein_coding","chr19:1491166-1497927"
"ENSG00000105369"," CD79A"," protein_coding","chr19:41877279-41881372"
"ENSG00000129824"," RPS4Y1"," protein_coding","chrY:2841602-2932000"
"ENSG00000130294"," KIF1A"," protein_coding","chr2:240713761-240824293"
"ENSG00000115652"," UXS1"," protein_coding","chr2:106093308-106194301"
"ENSG00000146094"," DOK3"," protein_coding","chr5:177501904-177511274"
"ENSG00000211679"," IGLC3"," IG_C_gene","chr22:22906342-22906803"
"ENSG00000128284"," APOL3"," protein_coding","chr22:36140330-36166177"
"ENSG00000172578"," KLHL6"," protein_coding","chr3:183487551-183555706"
"ENSG00000171608"," PIK3CD"," protein_coding","chr1:9651731-9729114"
"ENSG00000204710"," SPDYC"," protein_coding","chr11:65170154-65173244"
"ENSG00000038382"," TRIO"," protein_coding","chr5:14143342-14532128"
"ENSG00000140995"," DEF8"," protein_coding","chr16:89948697-89968060"
"ENSG00000227051"," C14orf132"," protein_coding","chr14:96039362-96093971"
"ENSG00000168528"," SERINC2"," protein_coding","chr1:31409565-31434680"
"ENSG00000211666"," IGLV2-14"," IG_V_gene","chr22:22758700-22759218"
"ENSG00000182054"," IDH2"," protein_coding","chr15:90083045-90102477"
"ENSG00000164626"," KCNK5"," protein_coding","chr6:39188971-39229475"
"ENSG00000152556"," PFKM"," protein_coding","chr12:48105139-48146404"
"ENSG00000087086"," FTL"," protein_coding","chr19:48965309-48966879"
"ENSG00000113719"," ERGIC1"," protein_coding","chr5:172834251-172952683"
"ENSG00000115165"," CYTIP"," protein_coding","chr2:157414619-157488961"
"ENSG00000162639"," HENMT1"," protein_coding","chr1:108648290-108661526"
"ENSG00000228594"," FNDC10"," protein_coding","chr1:1598012-1600135"
"ENSG00000160606"," TLCD1"," protein_coding","chr17:28724348-28727935"
"ENSG00000110031"," LPXN"," protein_coding","chr11:58526871-58578220"
"ENSG00000277150"," F8A3"," protein_coding","chrX:155456914-155458620"
"ENSG00000213563"," C8orf82"," protein_coding","chr8:144525733-144529132"
"ENSG00000175866"," BAIAP2"," protein_coding","chr17:81035122-81117434"
"ENSG00000141447"," OSBPL1A"," protein_coding","chr18:24162045-24397880"
"ENSG00000182871"," COL18A1"," protein_coding","chr21:45405165-45513720"
"ENSG00000156381"," ANKRD9"," protein_coding","chr14:102501767-102509799"
"ENSG00000185559"," DLK1"," protein_coding","chr14:100725705-100738224"
"ENSG00000116157"," GPX7"," protein_coding","chr1:52602371-52609051"
"ENSG00000234975"," FTH1P2"," processed_pseudogene","chr1:228687415-228687826"
"ENSG00000132334"," PTPRE"," protein_coding","chr10:127907103-128085855"
"ENSG00000102879"," CORO1A"," protein_coding","chr16:30182827-30189076"
"ENSG00000184916"," JAG2"," protein_coding","chr14:105140982-105168824"
"ENSG00000154856"," APCDD1"," protein_coding","chr18:10454635-10489949"
"ENSG00000184009"," ACTG1"," protein_coding","chr17:81509413-81523847"
"ENSG00000050767"," COL23A1"," protein_coding","chr5:178237476-178590393"
"ENSG00000197119"," SLC25A29"," protein_coding","chr14:100291116-100306547"
"ENSG00000176014"," TUBB6"," protein_coding","chr18:12307669-12344320"
"ENSG00000135047"," CTSL"," protein_coding","chr9:87724051-87731469"
"ENSG00000163975"," MELTF"," protein_coding","chr3:196988621-197029817"
"ENSG00000129946"," SHC2"," protein_coding","chr19:416589-461033"
"ENSG00000138795"," LEF1"," protein_coding","chr4:108047545-108168956"
"ENSG00000001036"," FUCA2"," protein_coding","chr6:143494812-143511720"
"ENSG00000141480"," ARRB2"," protein_coding","chr17:4710596-4721499"
"ENSG00000187017"," ESPN"," protein_coding","chr1:6424776-6461367"
"ENSG00000232677"," LINC00665"," lncRNA","chr19:36259540-36331770"
"ENSG00000180096"," SEPTIN1"," protein_coding","chr16:30378133-30395991"
"ENSG00000179456"," ZBTB18"," protein_coding","chr1:244048939-244057476"
"ENSG00000188112"," C6orf132"," protein_coding","chr6:42101119-42142620"
"ENSG00000004399"," PLXND1"," protein_coding","chr3:129555214-129606676"
"ENSG00000133789"," SWAP70"," protein_coding","chr11:9664077-9752993"
"ENSG00000137078"," SIT1"," protein_coding","chr9:35649295-35650950"
"ENSG00000224184"," MIR3681HG"," lncRNA","chr2:11833926-12702913"
"ENSG00000172687"," ZNF738"," protein_coding","chr19:21358930-21388582"
"ENSG00000196781"," TLE1"," protein_coding","chr9:81583683-81689547"
"ENSG00000148180"," GSN"," protein_coding","chr9:121207794-121332843"
"ENSG00000198286"," CARD11"," protein_coding","chr7:2906142-3043867"
"ENSG00000150907"," FOXO1"," protein_coding","chr13:40555667-40666641"
"ENSG00000136854"," STXBP1"," protein_coding","chr9:127579370-127696027"
"ENSG00000065534"," MYLK"," protein_coding","chr3:123610049-123884332"
"ENSG00000138964"," PARVG"," protein_coding","chr22:44172956-44219533"
"ENSG00000166897"," ELFN2"," protein_coding","chr22:37367960-37427479"
"ENSG00000119673"," ACOT2"," protein_coding","chr14:73567620-73575658"
"ENSG00000176678"," FOXL1"," protein_coding","chr16:86576368-86583478"
"ENSG00000065809"," FAM107B"," protein_coding","chr10:14518557-14774897"
"ENSG00000106991"," ENG"," protein_coding","chr9:127815013-127854658"
"ENSG00000088992"," TESC"," protein_coding","chr12:117038923-117099479"
"ENSG00000095370"," SH2D3C"," protein_coding","chr9:127738317-127778710"
"ENSG00000242574"," HLA-DMB"," protein_coding","chr6:32934629-32941028"
"ENSG00000152642"," GPD1L"," protein_coding","chr3:32105689-32168709"
"ENSG00000136878"," USP20"," protein_coding","chr9:129834698-129881828"
"ENSG00000105655"," ISYNA1"," protein_coding","chr19:18434388-18438167"
"ENSG00000157985"," AGAP1"," protein_coding","chr2:235494043-236131800"
"ENSG00000269190"," FBXO17"," protein_coding","chr19:38941401-38975742"
"ENSG00000126970"," ZC4H2"," protein_coding","chrX:64915802-65034713"
"ENSG00000105808"," RASA4"," protein_coding","chr7:102573807-102616756"
"ENSG00000160703"," NLRX1"," protein_coding","chr11:119166568-119184016"
"ENSG00000187653"," TMSB4XP8"," processed_pseudogene","chr4:90838903-90839037"
"ENSG00000138316"," ADAMTS14"," protein_coding","chr10:70672506-70762441"
"ENSG00000116133"," DHCR24"," protein_coding","chr1:54849627-54887195"
"ENSG00000164850"," GPER1"," protein_coding","chr7:1082208-1093815"
"ENSG00000122644"," ARL4A"," protein_coding","chr7:12686856-12690958"
"ENSG00000137055"," PLAA"," protein_coding","chr9:26903372-26947242"
"ENSG00000206337"," HCP5"," lncRNA","chr6:31463170-31478936"
"ENSG00000130656"," HBZ"," protein_coding","chr16:142728-154503"
"ENSG00000119411"," BSPRY"," protein_coding","chr9:113349541-113371233"
"ENSG00000226564"," FTH1P20"," processed_pseudogene","chr2:180872867-180873414"
"ENSG00000139737"," SLAIN1"," protein_coding","chr13:77697687-77764242"
"ENSG00000211900"," IGHJ6"," IG_J_gene","chr14:105863198-105863258"
"ENSG00000151726"," ACSL1"," protein_coding","chr4:184755595-184826818"
"ENSG00000179403"," VWA1"," protein_coding","chr1:1434861-1442882"
"ENSG00000087074"," PPP1R15A"," protein_coding","chr19:48872421-48876058"
"ENSG00000169926"," KLF13"," protein_coding","chr15:31326835-31435665"
"ENSG00000124243"," BCAS4"," protein_coding","chr20:50794894-50877177"
"ENSG00000114541"," FRMD4B"," protein_coding","chr3:69168782-69542583"
"ENSG00000206195"," DUXAP8"," lncRNA","chr22:15784959-15829984"
"ENSG00000149516"," MS4A3"," protein_coding","chr11:60056587-60071115"
"ENSG00000211973"," IGHV1-69"," IG_V_gene","chr14:106714684-106715181"
"ENSG00000204592"," HLA-E"," protein_coding","chr6:30489509-30494194"
"ENSG00000196405"," EVL"," protein_coding","chr14:99971449-100144236"
"ENSG00000158457"," TSPAN33"," protein_coding","chr7:129144707-129169699"
"ENSG00000179583"," CIITA"," protein_coding","chr16:10866222-10943021"
"ENSG00000134369"," NAV1"," protein_coding","chr1:201622885-201826969"
"ENSG00000170571"," EMB"," protein_coding","chr5:50396192-50443248"
"ENSG00000035720"," STAP1"," protein_coding","chr4:67558727-67607337"
"ENSG00000116014"," KISS1R"," protein_coding","chr19:917287-921005"
"ENSG00000171862"," PTEN"," protein_coding","chr10:87863625-87971930"
"ENSG00000265843"," LINC01029"," lncRNA","chr18:77970637-77993731"
"ENSG00000100097"," LGALS1"," protein_coding","chr22:37675636-37679802"
"ENSG00000111057"," KRT18"," protein_coding","chr12:52948871-52952906"
"ENSG00000173110"," HSPA6"," protein_coding","chr1:161524540-161526894"
"ENSG00000034053"," APBA2"," protein_coding","chr15:28884483-29118315"
"ENSG00000111321"," LTBR"," protein_coding","chr12:6375045-6391571"
"ENSG00000040487"," SLC66A1"," protein_coding","chr1:19312326-19329300"
"ENSG00000158234"," FAIM"," protein_coding","chr3:138608606-138633376"
"ENSG00000162654"," GBP4"," protein_coding","chr1:89181144-89198942"
"ENSG00000183049"," CAMK1D"," protein_coding","chr10:12349547-12835545"
"ENSG00000124762"," CDKN1A"," protein_coding","chr6:36676460-36687337"
"ENSG00000185551"," NR2F2"," protein_coding","chr15:96325938-96340263"
"ENSG00000167642"," SPINT2"," protein_coding","chr19:38244035-38292615"
"ENSG00000114631"," PODXL2"," protein_coding","chr3:127629185-127672802"
"ENSG00000154359"," LONRF1"," protein_coding","chr8:12721906-12756073"
"ENSG00000015413"," DPEP1"," protein_coding","chr16:89613308-89638456"
"ENSG00000130560"," UBAC1"," protein_coding","chr9:135932969-135961373"
"ENSG00000012817"," KDM5D"," protein_coding","chrY:19703865-19744939"
"ENSG00000100285"," NEFH"," protein_coding","chr22:29480218-29491390"
"ENSG00000168234"," TTC39C"," protein_coding","chr18:23992773-24135610"
"ENSG00000105610"," KLF1"," protein_coding","chr19:12884422-12887201"
"ENSG00000168421"," RHOH"," protein_coding","chr4:40191053-40246967"
"ENSG00000079819"," EPB41L2"," protein_coding","chr6:130839347-131063322"
"ENSG00000149564"," ESAM"," protein_coding","chr11:124752583-124762290"
"ENSG00000106066"," CPVL"," protein_coding","chr7:28995235-29195451"
"ENSG00000130707"," ASS1"," protein_coding","chr9:130444961-130501274"
"ENSG00000235162"," C12orf75"," protein_coding","chr12:105235290-105396097"
"ENSG00000175287"," PHYHD1"," protein_coding","chr9:128920966-128942041"
"ENSG00000142227"," EMP3"," protein_coding","chr19:48321509-48330553"
"ENSG00000146281"," PM20D2"," protein_coding","chr6:89146055-89165565"
"ENSG00000205639"," MFSD2B"," protein_coding","chr2:24010081-24063321"
"ENSG00000160999"," SH2B2"," protein_coding","chr7:102285091-102321711"
"ENSG00000166165"," CKB"," protein_coding","chr14:103519667-103522833"
"ENSG00000160789"," LMNA"," protein_coding","chr1:156082573-156140081"
"ENSG00000204054"," LINC00963"," lncRNA","chr9:129476946-129513687"
"ENSG00000167081"," PBX3"," protein_coding","chr9:125747345-125967377"
"ENSG00000135409"," AMHR2"," protein_coding","chr12:53423855-53431672"
"ENSG00000064201"," TSPAN32"," protein_coding","chr11:2301997-2318204"
"ENSG00000163697"," APBB2"," protein_coding","chr4:40810027-41216714"
"ENSG00000104998"," IL27RA"," protein_coding","chr19:14031762-14053218"
"ENSG00000074660"," SCARF1"," protein_coding","chr17:1633858-1645744"
"ENSG00000026950"," BTN3A1"," protein_coding","chr6:26402237-26415208"
"ENSG00000242247"," ARFGAP3"," protein_coding","chr22:42796502-42858106"
"ENSG00000163219"," ARHGAP25"," protein_coding","chr2:68679601-68826833"
"ENSG00000188848"," BEND4"," protein_coding","chr4:42110853-42152878"
"ENSG00000170909"," OSCAR"," protein_coding","chr19:54094668-54102692"
"ENSG00000139292"," LGR5"," protein_coding","chr12:71439798-71586310"
"ENSG00000185340"," GAS2L1"," protein_coding","chr22:29306582-29312785"
"ENSG00000107819"," SFXN3"," protein_coding","chr10:101031234-101041244"
"ENSG00000168754"," FAM178B"," protein_coding","chr2:96875882-96986580"
"ENSG00000172995"," ARPP21"," protein_coding","chr3:35638945-35794496"
